,,,,,,
單字,中文,目標,,,,
これ,這個（東西）,指示代名詞,,,,
それ,那個（近）,,,,,
あれ,那個（遠）,,,,,
どれ,哪個,,,,,
この,這個（東西）(+名詞）,,,,,
その,那個（東西）（近）,,,,,
あの,那個（東西）（遠）,,,,,
どの,哪個（東西）,,,,,
ここ,這裡,,,,,
そこ,那裡（近）,,,,,
あそこ,那裡（遠）,,,,,
どこ,哪裡,,,,,
テレビ,TV,,,,,
れいぞうこ,冷葳庫（冰箱）-,,,,,
エアコン,冷氣,,,,,
マスク,口罩,,,,,
しょうどくよう　アルコール,酒精,,,,,
ゴーグル,護目鏡,,,,,
ティシュー,面紙,,,,,
ワンタン,餛飩,,,,,
カバン,包包,,,,,
けしょうしたじ,化粧下地 / 底妝,,,,,
ゴム,保險套,,,,,
めんぜい,免税,,,,,
まっちゃ,抹茶,,,,,
チョコレート,巧克力,,,,,
め,目,,,,,
だいじょうぶ,沒問題 / 大丈夫,,,,,
トイレ,廁所,,,,,
ちかてつ,地下鉄,,,,,
かんこうあんないしょ,観光案内所,,,,,
レストラン,,,,,,
ホテル,,,,,,
ばんせん,,,,,,
駅前,,,,,,
にもつ,荷物,,,,,
コインロッカー,,,,,,
あたま,頭,,,,,
じむしつ,事務室,,,,,
きゅうとうしつ,給湯室,,,,,
